game_no,Date,month,Opp,Result,win,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,triple_double
50,2017-02-01,Feb 2017,CHI,"L, 100-128",False,,28.0,5.0,8.0,2.0,1.0,3.0,.435,.286,False
51,2017-02-03,Feb 2017,MEM,"W, 114-102",True,,38.0,13.0,12.0,3.0,0.0,5.0,.400,.714,True
52,2017-02-05,Feb 2017,POR,"W, 105-99",True,,42.0,4.0,8.0,0.0,0.0,4.0,.471,.167,False
53,2017-02-06,Feb 2017,IND,"L, 90-93",False,,27.0,18.0,9.0,1.0,2.0,4.0,.370,.400,False
54,2017-02-09,Feb 2017,CLE,"W, 118-109",True,,29.0,12.0,11.0,4.0,0.0,7.0,.407,.333,True
55,2017-02-11,Feb 2017,GSW,"L, 114-130",False,,47.0,11.0,8.0,1.0,0.0,11.0,.538,.300,False
56,2017-02-13,Feb 2017,WAS,"L, 98-120",False,,17.0,4.0,4.0,2.0,0.0,2.0,.263,.000,False
57,2017-02-15,Feb 2017,NYK,"W, 116-105",True,,38.0,14.0,12.0,3.0,1.0,6.0,.591,.600,True
58,2017-02-24,Feb 2017,LAL,"W, 110-93",True,,17.0,18.0,17.0,3.0,0.0,6.0,.222,.200,True
59,2017-02-26,Feb 2017,NOP,"W, 118-110",True,,41.0,11.0,11.0,1.0,0.0,9.0,.483,.250,True
60,2017-02-28,Feb 2017,UTA,"W, 109-106",True,,43.0,11.0,10.0,0.0,0.0,8.0,.464,.667,True
61,2017-03-02,Mar 2017,POR,"L, 109-114",False,,45.0,7.0,4.0,1.0,1.0,4.0,.333,.375,False
62,2017-03-03,Mar 2017,PHO,"L, 111-118",False,,48.0,17.0,9.0,3.0,0.0,4.0,.467,.250,False
63,2017-03-05,Mar 2017,DAL,"L, 89-104",False,,29.0,6.0,5.0,2.0,1.0,1.0,.333,.200,False
64,2017-03-07,Mar 2017,POR,"L, 121-126",False,,58.0,3.0,9.0,3.0,1.0,4.0,.538,.333,False
65,2017-03-09,Mar 2017,SAS,"W, 102-92",True,,23.0,13.0,13.0,2.0,0.0,3.0,.333,.167,True
66,2017-03-11,Mar 2017,UTA,"W, 112-104",True,,33.0,11.0,14.0,2.0,2.0,5.0,.346,.300,True
67,2017-03-14,Mar 2017,BRK,"W, 122-104",True,,25.0,12.0,19.0,2.0,1.0,5.0,.333,.286,True
68,2017-03-16,Mar 2017,TOR,"W, 123-102",True,,24.0,10.0,16.0,1.0,0.0,2.0,.471,.500,True
69,2017-03-18,Mar 2017,SAC,"W, 110-94",True,,28.0,8.0,10.0,4.0,0.0,7.0,.450,.444,False
70,2017-03-20,Mar 2017,GSW,"L, 95-111",False,,15.0,8.0,7.0,2.0,0.0,5.0,.250,.167,False
71,2017-03-22,Mar 2017,PHI,"W, 122-97",True,,18.0,11.0,14.0,0.0,2.0,5.0,1.000,,True
72,2017-03-26,Mar 2017,HOU,"L, 125-137",False,,39.0,11.0,13.0,0.0,0.0,5.0,.542,.333,True
73,2017-03-27,Mar 2017,DAL,"W, 92-91",True,,37.0,13.0,10.0,2.0,0.0,6.0,.500,.222,True
74,2017-03-29,Mar 2017,ORL,"W, 114-106 (OT)",True,,57.0,13.0,11.0,3.0,0.0,7.0,.525,.400,True
75,2017-03-31,Mar 2017,SAS,"L, 95-100",False,,32.0,15.0,12.0,0.0,0.0,8.0,.364,.286,True
76,2017-04-02,Apr 2017,CHO,"L, 101-113",False,,40.0,13.0,10.0,2.0,0.0,8.0,.452,.467,True
77,2017-04-04,Apr 2017,MIL,"W, 110-79",True,,12.0,13.0,13.0,2.0,0.0,3.0,.333,.500,True
78,2017-04-05,Apr 2017,MEM,"W, 103-100",True,,45.0,9.0,10.0,4.0,0.0,7.0,.560,.615,False
79,2017-04-07,Apr 2017,PHO,"L, 99-120",False,,23.0,12.0,8.0,0.0,1.0,8.0,.240,.167,False
80,2017-04-09,Apr 2017,DEN,"W, 106-105",True,,50.0,16.0,10.0,1.0,0.0,2.0,.531,.417,True
81,2017-04-12,Apr 2017,DEN,"L, 105-111",False,,5.0,5.0,8.0,0.0,1.0,3.0,.200,.200,False
